#
#  Data file for Mapnet
# --------------------------
# written Ying
#
# T ^ num_cities
#       (total number of nodes)
#       num_cities - the number of cities (int)
#
# t ^ num_clouds
#       (total number of clouds)
#       num_clouds - the number of clouds (int)
#
# R ^ num_isps
#       (total number of isps)
#       num_isps - the number of isps
#
# C ^ city_index ^ lat ^ long ^ city_name
#       (city)
#       city_index - unque index for each city (int)
#       lat - latidtie (float)
#       long - longitude (float)
#       city_name - the name of the city (string)
#
# c ^ cloud_index ^ cloud_name
#       (cloud)
#       cloud_index - unque index for each cloud (int)
#       cloud_name - name of the cloud (string)
#
# I ^ isp_index ^ isp2type ^ isp_name
#       (I isp with link data add to list)
#       (i isp without link data do not add to list)
#       isp_index - unque index for each isp (int)
#       isp_name - the name of the isp (string)
#       type - R or I (research or Indusrty)
#
# E ^ isp_name
#       (end of isp
#       marks the end of a isp
#
# P ^ city_index1 ^ city_index2 ^ bandwidth
#       (pipe)
#       city_index1 - the index of the to city (int)
#       city_index2 - the index of the from city (int)
#       bandwidth - bandwidth of the connection (float)
#
# L ^ cloud_index ^ city_index ^ bandwidth
#       (link)
#       cloud- the index of the to cloud (int)
#       city_index - the index of the to city (int)
#       bandwidth - bandwidth of the connection (float)
#
# p ^ node_index ^ isp_index ^ isp_index
#       (peer)
#       node_index - where
T ^ 495
t ^ 4
R ^ 113
C ^ 0 ^ 39.51 ^ -76.18 ^ aberdeen, md, us
C ^ 1 ^ -34.866 ^ 138.5 ^ adelaide, *, australia
C ^ 2 ^ 39.003055555555555145 ^ -76.972222222222228538 ^ adelphi, md, us
C ^ 3 ^ 13.47511 ^ 144.74844E ^ agana, gu, us
C ^ 4 ^ 41.08040 ^ -81.52149 ^ akron, oh, us
C ^ 5 ^ 40.16 ^ -76.21 ^ akron, pa, us
C ^ 6 ^ 42.65030 ^ -73.75030 ^ albany, ny, us
C ^ 7 ^ 35.08 ^ -106.65 ^ albuquerque, nm, us
C ^ 8 ^ -36.00 ^ 146.75 ^ albury, *, australia
C ^ 9 ^ 38.804722222222217454 ^ -77.047222222222217169 ^ alexandria, va, us
C ^ 10 ^ 40.52 ^ -78.41 ^ altoona, pa, us
C ^ 11 ^ 35.20 ^ -101.84 ^ amarillo, tx, us
C ^ 12 ^ 42.034722222222221433 ^ -93.619722222222222285 ^ ames, ia, us
C ^ 13 ^ 52.35000 ^ 4.86660 ^ amsterdam, *, netherlands
C ^ 14 ^ 52.35 ^ 4.90 ^ amsterdam, *, nl
C ^ 15 ^ 33.835277777777783115 ^ -117.91361111111112336 ^ anaheim, ca, us
C ^ 16 ^ 61.21 ^ -149.88 ^ anchorage, ak, us
C ^ 17 ^ 38.97165 ^ -76.50303 ^ annapolis, md, us
C ^ 18 ^ 34.33 ^ -86.49 ^ arab, al, us
C ^ 19 ^ -10.90 ^ -37.12 ^ aracaju, *, brazil
C ^ 20 ^ 38.870833333333337123 ^ -77.101388888888877204 ^ arlington, va, us
C ^ 21 ^ 36.69 ^ -97.55 ^ arm, ok, us
C ^ 22 ^ 37.95 ^ 23.7 ^ athens, *, greece
C ^ 23 ^ 33.748888888888892268 ^ -84.388055555555567366 ^ atlanta, ga, us
C ^ 24 ^ -36.92 ^ 174.78 ^ auckland, *, new zealand
C ^ 25 ^ -36.92 ^ 174.78 ^ auckland, *, nz
C ^ 26 ^ 33.45735 ^ -81.99499 ^ augusta, ga, us
C ^ 27 ^ 39.74 ^ -104.86 ^ aurora, *, us
C ^ 28 ^ 39.74 ^ -104.86 ^ aurora, co, us
C ^ 29 ^ 33.822000 ^ -84.64293 ^ austell, ga, us
C ^ 30 ^ 30.30588 ^ -97.742777777777774872 ^ austin, tx, us
C ^ 31 ^ 49.22 ^ -68.15 ^ baie-comeau, *, canada
